,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MS00602|PRRX1,0.8362168463443687,,SELEX,,9,,23332764,Homeodomain Family,,paired related homeobox 1,Homo Sapiens,293FT,5396,PRRX1,,NM_006902|NM_022716,,,,,,,,,,,,,"[[[0.115, 0.068, 0.028, 0.789], [0.749, 0.035, 0.122, 0.094], [0.904, 0.031, 0.040, 0.025], [0.052, 0.221, 0.082, 0.645], [0.049, 0.480, 0.115, 0.356], [0.051, 0.241, 0.185, 0.523], [0.827, 0.041, 0.111, 0.021], [0.945, 0.014, 0.029, 0.012], [0.010, 0.010, 0.010, 0.970], [0.099, 0.083, 0.010, 0.808], [0.787, 0.017, 0.089, 0.107]]]",PRRX1
MC00411|BATF,0.8428613558582767,,Cistrome,,18,,,Leucine zipper Family,,"basic leucine zipper transcription factor, ATF-like",Homo Sapiens,GM12878,10538,BATF,B-ATF BATF1 SFA-2 SFA2,NM_006399,5.0,,,,,,1683(1/1),-48.5827,(0) denovo (1) denovo (2) denovo (3) denovo (4) FOSL1 Fosl1 (5) AP-1 FOS FOSB JUN JUNB JUND (6) JUN (7) denovo (8) denovo (9) denovo (10) Cap1 (11) AP-1 FOS FOSB JUN JUNB JUND (12) denovo (13) JUNB (14) denovo (15) GCN4 (16) GCN4 (17) BACH1 Bach1 (18) denovo (19) AP-1 FOS FOSB JUN JUNB JUND (20) JUND (21) BACH2 Bach2 (22) NFE2 Nfe2 (23) ARG RII (24) C-MAF (25) GCN4 (26) GCN4 (27) AP-1 FOS FOSB JUN JUNB JUND (28) AP-1 FOS FOSB JUN JUNB JUND (30) MAF Maf (31) AP-1 FOS FOSB JUN JUNB JUND (32) ARG RI (33) GABPA Gabpa (34) Zta (35) AP-1 FOS FOSB JUN JUNB JUND (38) denovo (39) NFE2L2,(0)  (1)  (2)  (3)  (4) Leucine zipper Family (bZIP) (5)  (6) Leucine zipper Family (bZIP) (7)  (8)  (9)  (10)  (11)  (12)  (13) Leucine zipper Family (bZIP) (14)  (15)  (16)  (17) Leucine zipper Family (bZIP) (18)  (19)  (20) Leucine zipper Family (bZIP) (21) Leucine zipper Family (bZIP) (22) Leucine zipper Family (bZIP) (23)  (24)  (25)  (26)  (27)  (28)  (30) Leucine zipper Family (bZIP) (31)  (32)  (33) Ets Domain Family (34)  (35)  (38)  (39) Leucine zipper Family (bZIP),,37.0,"[[[0.413, 0.333, 0.190, 0.064], [0.049, 0.030, 0.017, 0.904], [0.029, 0.023, 0.757, 0.190], [0.948, 0.014, 0.014, 0.023], [0.030, 0.472, 0.429, 0.068], [0.030, 0.016, 0.005, 0.948], [0.147, 0.811, 0.022, 0.019], [0.979, 0.005, 0.005, 0.011], [0.226, 0.038, 0.126, 0.610], [0.531, 0.072, 0.011, 0.386], [0.289, 0.204, 0.095, 0.411], [0.148, 0.449, 0.110, 0.293], [0.283, 0.139, 0.354, 0.223], [0.530, 0.063, 0.299, 0.108], [0.392, 0.092, 0.385, 0.131], [0.812, 0.119, 0.045, 0.024]]]",BATF
UP00119|Nkx2-9,0.8440788359449583,,UniPROBE,,9,,18585359,Homeodomain Family,,"NK2 transcription factor related, locus 9 (Drosophila)",Mus Musculus,,18094,Nkx2-9,Nkx-2.9 Nkx2-8 Nkx2.9 tinman,NM_008701,89.0,,,,,,,,,,,,"[[[0.246, 0.081, 0.165, 0.508], [0.149, 0.199, 0.121, 0.531], [0.229, 0.152, 0.075, 0.544], [0.316, 0.097, 0.242, 0.345], [0.669, 0.010, 0.306, 0.015], [0.871, 0.010, 0.091, 0.028], [0.010, 0.028, 0.952, 0.010], [0.010, 0.219, 0.010, 0.761], [0.761, 0.010, 0.219, 0.010], [0.010, 0.952, 0.028, 0.010], [0.029, 0.091, 0.010, 0.870], [0.022, 0.306, 0.010, 0.662], [0.411, 0.172, 0.254, 0.163], [0.795, 0.019, 0.053, 0.133], [0.591, 0.124, 0.104, 0.181], [0.241, 0.115, 0.214, 0.430], [0.146, 0.360, 0.129, 0.365]]]",Nkx2-9
UP00206|Hoxb7,0.8487321388381346,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox B7,Mus Musculus,,15415,Hoxb7,AI325018 Hox-2.3,NM_010460,86.0,,,,,,,,,,,,"[[[0.096, 0.289, 0.454, 0.161], [0.155, 0.237, 0.207, 0.401], [0.642, 0.212, 0.088, 0.058], [0.092, 0.223, 0.394, 0.291], [0.025, 0.059, 0.010, 0.906], [0.931, 0.035, 0.010, 0.024], [0.965, 0.010, 0.010, 0.015], [0.025, 0.010, 0.010, 0.955], [0.031, 0.010, 0.035, 0.924], [0.913, 0.010, 0.059, 0.018], [0.402, 0.314, 0.166, 0.118], [0.058, 0.088, 0.212, 0.642], [0.103, 0.085, 0.557, 0.255], [0.212, 0.307, 0.248, 0.233], [0.313, 0.254, 0.146, 0.287], [0.449, 0.132, 0.287, 0.132]]]",Hoxb7
M01479|POU6F1,0.8489446050477465,,Transfac,,4,,18585359,Homeodomain Family,,POU class 6 homeobox 1,Homo Sapiens,,5463,POU6F1,BRN5 MPOU TCFB1,NM_002702|NR_026893,345.0,,,,,,,,,,,,"[[[0.280, 0.280, 0.340, 0.100], [0.430, 0.240, 0.080, 0.250], [0.277, 0.297, 0.218, 0.208], [0.188, 0.267, 0.455, 0.090], [0.495, 0.069, 0.020, 0.416], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.700, 0.280], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.950, 0.030], [0.080, 0.400, 0.400, 0.120], [0.208, 0.129, 0.030, 0.633], [0.170, 0.150, 0.300, 0.380], [0.240, 0.170, 0.380, 0.210], [0.297, 0.317, 0.158, 0.228]]]",POU6F1
MS00151|POU4F3,0.8518287786595868,,SELEX,,9,,23332764,Homeodomain Family,,POU class 4 homeobox 3,Homo Sapiens,293FT,5459,POU4F3,,NM_002700,,,,,,,,,,,,,"[[[0.423, 0.162, 0.221, 0.194], [0.058, 0.064, 0.060, 0.818], [0.148, 0.052, 0.652, 0.148], [0.470, 0.503, 0.010, 0.017], [0.940, 0.012, 0.010, 0.038], [0.023, 0.010, 0.010, 0.957], [0.623, 0.026, 0.027, 0.324], [0.775, 0.030, 0.031, 0.164], [0.096, 0.022, 0.037, 0.845], [0.107, 0.015, 0.043, 0.835], [0.573, 0.120, 0.146, 0.161], [0.970, 0.010, 0.010, 0.010], [0.047, 0.079, 0.040, 0.834], [0.131, 0.111, 0.530, 0.228], [0.485, 0.217, 0.142, 0.156], [0.239, 0.195, 0.404, 0.162]]]",POU4F3
MC00309|TCF7L2,0.8519264356107247,,Cistrome,,16,,None,High Mobility Group (Box) Family,,"transcription factor 7-like 2 (T-cell specific, HMG-box)",Homo Sapiens,HCT-116,6934,TCF7L2,,NM_001146274|NM_001146283|NM_001146284|NM_001146285|NM_001146286|NM_030756,,,,,,,5802(4/6),-42.7596,(1) TCF4|(2) denovo|(3) denovo|(4) LEF1|(5) denovo|(6) TCF7L2|(7) TCF3|(8) denovo|(9) denovo,(1) Helix-Loop-Helix Family|(2)|(3)|(4) High Mobility Group (Box) Family|(5)|(6) High Mobility Group (Box) Family|(7) Helix-Loop-Helix Family|(8)|(9),,9.0,"[[[0.694, 0.050, 0.163, 0.092], [0.029, 0.443, 0.502, 0.027], [0.668, 0.015, 0.015, 0.301], [0.152, 0.016, 0.006, 0.826], [0.040, 0.779, 0.167, 0.013], [0.981, 0.012, 0.005, 0.002], [0.974, 0.009, 0.011, 0.005], [0.956, 0.000, 0.027, 0.018], [0.088, 0.044, 0.865, 0.003], [0.201, 0.242, 0.467, 0.089]]]",TCF7L2
MS00134|POU2F2,0.8563817326291342,,SELEX,,9,,23332764,Homeodomain Family,,POU class 2 homeobox 2,Homo Sapiens,293FT,5452,POU2F2,,NM_002698,,,,,,,,,,,,,"[[[0.276, 0.322, 0.103, 0.299], [0.479, 0.175, 0.068, 0.278], [0.151, 0.109, 0.034, 0.706], [0.276, 0.074, 0.542, 0.108], [0.452, 0.487, 0.021, 0.040], [0.755, 0.062, 0.038, 0.145], [0.065, 0.035, 0.015, 0.885], [0.906, 0.017, 0.010, 0.067], [0.194, 0.070, 0.038, 0.698], [0.070, 0.034, 0.452, 0.444], [0.108, 0.695, 0.038, 0.159], [0.750, 0.079, 0.054, 0.117], [0.426, 0.134, 0.103, 0.337], [0.443, 0.187, 0.160, 0.210]]]",POU2F2
UP00166|BARHL1,0.8587821662928357,,UniPROBE,,9,,18585359,Homeodomain Family,,BarH-like homeobox 1,Homo Sapiens,,56751,BARHL1,-,NM_020064,201.0,,,,,,,,,,,,"[[[0.468, 0.210, 0.141, 0.181], [0.607, 0.125, 0.138, 0.130], [0.281, 0.424, 0.125, 0.170], [0.749, 0.068, 0.137, 0.046], [0.724, 0.024, 0.219, 0.033], [0.076, 0.609, 0.182, 0.133], [0.010, 0.764, 0.010, 0.216], [0.951, 0.010, 0.029, 0.010], [0.890, 0.010, 0.010, 0.090], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.547, 0.035, 0.327, 0.091], [0.120, 0.194, 0.328, 0.358], [0.275, 0.177, 0.232, 0.316], [0.224, 0.420, 0.140, 0.216]]]",BARHL1
MS00628|Vsx1,0.8608723962289049,,SELEX,,9,,23332764,Homeodomain Family,,visual system homeobox 1 homolog (zebrafish),Mus Musculus,293T,114889,Vsx1,,NM_054068,,,,,,,,,,,,,"[[[0.147, 0.416, 0.179, 0.258], [0.080, 0.453, 0.046, 0.421], [0.773, 0.092, 0.068, 0.067], [0.889, 0.061, 0.023, 0.027], [0.011, 0.010, 0.010, 0.969], [0.040, 0.072, 0.036, 0.852], [0.878, 0.034, 0.016, 0.072], [0.320, 0.246, 0.258, 0.176]]]",Vsx1
MS00427|DLX1,0.861190579409624,,SELEX,,9,,23332764,Homeodomain Family,,distal-less homeobox 1,Homo Sapiens,293FT,1745,DLX1,,NM_001038493|NM_178120,,,,,,,,,,,,,"[[[0.256, 0.342, 0.219, 0.183], [0.312, 0.338, 0.192, 0.158], [0.214, 0.257, 0.014, 0.515], [0.836, 0.087, 0.042, 0.035], [0.918, 0.012, 0.010, 0.060], [0.107, 0.010, 0.010, 0.873], [0.017, 0.039, 0.055, 0.889], [0.795, 0.010, 0.010, 0.185], [0.214, 0.229, 0.251, 0.306], [0.195, 0.377, 0.229, 0.199]]]",DLX1
MS00149|POU4F2,0.863717935788058,,SELEX,,9,,23332764,Homeodomain Family,,POU class 4 homeobox 2,Homo Sapiens,293T,5458,POU4F2,,NM_004575,,,,,,,,,,,,,"[[[0.400, 0.174, 0.239, 0.187], [0.081, 0.086, 0.049, 0.784], [0.112, 0.023, 0.791, 0.074], [0.448, 0.532, 0.010, 0.010], [0.958, 0.010, 0.010, 0.022], [0.010, 0.010, 0.010, 0.970], [0.758, 0.013, 0.017, 0.212], [0.668, 0.042, 0.029, 0.261], [0.078, 0.045, 0.024, 0.853], [0.117, 0.012, 0.016, 0.855], [0.758, 0.050, 0.104, 0.088], [0.970, 0.010, 0.010, 0.010], [0.038, 0.034, 0.054, 0.874], [0.085, 0.084, 0.544, 0.287], [0.645, 0.127, 0.122, 0.106], [0.222, 0.169, 0.499, 0.110]]]",POU4F2
MS00521|Hoxd3,0.8639093973002254,,SELEX,,9,,23332764,Homeodomain Family,,homeobox D3,Mus Musculus,293T,15434,Hoxd3,,NM_010468,,,,,,,,,,,,,"[[[0.319, 0.206, 0.299, 0.176], [0.178, 0.297, 0.349, 0.176], [0.056, 0.343, 0.011, 0.590], [0.629, 0.209, 0.085, 0.077], [0.793, 0.068, 0.045, 0.094], [0.020, 0.010, 0.046, 0.924], [0.042, 0.042, 0.193, 0.723], [0.898, 0.018, 0.013, 0.071], [0.330, 0.211, 0.311, 0.148], [0.182, 0.315, 0.268, 0.235]]]",Hoxd3
MS00461|GBX2,0.8731124236446468,,SELEX,,9,,23332764,Homeodomain Family,,gastrulation brain homeobox 2,Homo Sapiens,FT293,2637,GBX2,,NM_001485,,,,,,,,,,,,,"[[[0.035, 0.090, 0.010, 0.865], [0.657, 0.018, 0.038, 0.287], [0.901, 0.020, 0.057, 0.022], [0.055, 0.058, 0.114, 0.773], [0.076, 0.037, 0.090, 0.797], [0.190, 0.018, 0.775, 0.017], [0.241, 0.225, 0.473, 0.061], [0.063, 0.476, 0.260, 0.201], [0.030, 0.711, 0.040, 0.219], [0.765, 0.084, 0.074, 0.077], [0.758, 0.107, 0.081, 0.054], [0.022, 0.055, 0.019, 0.904], [0.178, 0.020, 0.020, 0.782], [0.881, 0.010, 0.063, 0.046]]]",GBX2
MS00679|ONECUT2,0.8775539400801902,,SELEX,,9,,23332764,Homeodomain Family,,one cut homeobox 2,Homo Sapiens,293FT,9480,ONECUT2,,NM_004852,,,,,,,,,,,,,"[[[0.432, 0.187, 0.227, 0.154], [0.573, 0.081, 0.217, 0.129], [0.677, 0.072, 0.107, 0.144], [0.740, 0.049, 0.026, 0.185], [0.935, 0.010, 0.045, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.373, 0.010, 0.607, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.858, 0.030, 0.038, 0.074], [0.484, 0.180, 0.075, 0.261], [0.274, 0.221, 0.100, 0.405]]]",ONECUT2
MS00728|ZNF232,0.8810088108310787,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 232,Homo Sapiens,293T,7775,ZNF232,,NM_014519,,,,,,,,,,,,,"[[[0.389, 0.130, 0.375, 0.106], [0.110, 0.101, 0.136, 0.653], [0.010, 0.010, 0.970, 0.010], [0.020, 0.045, 0.010, 0.925], [0.129, 0.151, 0.010, 0.710], [0.966, 0.014, 0.010, 0.010], [0.891, 0.037, 0.010, 0.062], [0.951, 0.026, 0.010, 0.013], [0.062, 0.354, 0.062, 0.522], [0.040, 0.010, 0.940, 0.010], [0.011, 0.011, 0.010, 0.968], [0.605, 0.010, 0.290, 0.095], [0.051, 0.010, 0.929, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.176, 0.010, 0.804], [0.010, 0.068, 0.127, 0.795], [0.873, 0.033, 0.028, 0.066], [0.970, 0.010, 0.010, 0.010], [0.119, 0.218, 0.653, 0.010]]]",ZNF232
UP00260|Hoxc6,0.882997599233404,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox C6,Mus Musculus,,15425,Hoxc6,Hox-3.3 Hox-6.1,NM_010465,86.0,,,,,,,,,,,,"[[[0.141, 0.449, 0.157, 0.253], [0.456, 0.114, 0.309, 0.121], [0.477, 0.168, 0.129, 0.226], [0.426, 0.218, 0.282, 0.074], [0.103, 0.037, 0.397, 0.463], [0.029, 0.088, 0.010, 0.873], [0.914, 0.022, 0.010, 0.054], [0.960, 0.010, 0.014, 0.016], [0.019, 0.014, 0.010, 0.957], [0.055, 0.010, 0.022, 0.913], [0.877, 0.010, 0.088, 0.025], [0.464, 0.397, 0.037, 0.102], [0.118, 0.219, 0.241, 0.422], [0.384, 0.094, 0.160, 0.362], [0.460, 0.156, 0.231, 0.153], [0.320, 0.272, 0.213, 0.195], [0.317, 0.182, 0.232, 0.269]]]",Hoxc6
UP00244|TLX2,0.8839040649613239,,UniPROBE,,9,,18585359,Homeodomain Family,,T-cell leukemia homeobox 2,Homo Sapiens,,3196,TLX2,HOX11L1 NCX,NM_016170,86.0,,,,,,,,,,,,"[[[0.106, 0.201, 0.276, 0.417], [0.606, 0.082, 0.045, 0.267], [0.616, 0.071, 0.220, 0.093], [0.207, 0.102, 0.139, 0.552], [0.206, 0.314, 0.064, 0.416], [0.753, 0.060, 0.065, 0.122], [0.786, 0.029, 0.042, 0.143], [0.035, 0.039, 0.019, 0.907], [0.040, 0.039, 0.010, 0.911], [0.921, 0.010, 0.045, 0.024], [0.807, 0.031, 0.031, 0.131], [0.170, 0.057, 0.043, 0.730], [0.630, 0.051, 0.080, 0.239], [0.554, 0.094, 0.223, 0.129], [0.184, 0.391, 0.094, 0.331], [0.290, 0.101, 0.104, 0.505], [0.401, 0.061, 0.136, 0.402]]]",TLX2
UP00055|HBP1,0.8839041624528965,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,HMG-box transcription factor 1,Homo Sapiens,,26959,HBP1,FLJ16340,NM_012257,96.0,,,,,,,,,,,,"[[[0.349, 0.177, 0.159, 0.315], [0.241, 0.301, 0.225, 0.233], [0.300, 0.177, 0.189, 0.334], [0.414, 0.141, 0.103, 0.342], [0.033, 0.018, 0.010, 0.939], [0.021, 0.331, 0.638, 0.010], [0.969, 0.010, 0.010, 0.011], [0.969, 0.010, 0.010, 0.011], [0.013, 0.010, 0.010, 0.967], [0.010, 0.020, 0.933, 0.037], [0.748, 0.010, 0.232, 0.010], [0.866, 0.039, 0.073, 0.022], [0.111, 0.115, 0.044, 0.730], [0.186, 0.155, 0.442, 0.217], [0.366, 0.153, 0.257, 0.224], [0.216, 0.261, 0.239, 0.284]]]",HBP1
MC00474|BCL11A,0.8897396999942153,,Cistrome,,14,,,BetaBetaAlpha-zinc finger Family,,B-cell CLL/lymphoma 11A (zinc finger protein),Homo Sapiens,H1,53335,BCL11A,BCL11A-L BCL11A-S BCL11A-XL CTIP1 EVI9 FLJ10173 FLJ34997 HBFQTL5 KIAA1809 ZNF856,NM_018014|NM_022893|NM_138559,6.0,,,,,,2024(1/1),-24.5499,(0) denovo (1) denovo (2) denovo (8) denovo,(0)  (1)  (2)  (8),,4.0,"[[[0.561, 0.135, 0.117, 0.186], [0.034, 0.052, 0.028, 0.885], [0.065, 0.179, 0.020, 0.737], [0.318, 0.010, 0.011, 0.660], [0.340, 0.133, 0.474, 0.053], [0.130, 0.822, 0.022, 0.026], [0.916, 0.019, 0.015, 0.051], [0.155, 0.026, 0.023, 0.796], [0.401, 0.147, 0.228, 0.224], [0.569, 0.036, 0.030, 0.365], [0.078, 0.490, 0.258, 0.174], [0.811, 0.041, 0.020, 0.128], [0.851, 0.090, 0.031, 0.028], [0.482, 0.041, 0.053, 0.424], [0.328, 0.072, 0.473, 0.127], [0.325, 0.191, 0.395, 0.090]]]",BCL11A
MS00667|ONECUT1,0.8983067901424179,,SELEX,,9,,23332764,Homeodomain Family,,one cut homeobox 1,Homo Sapiens,293FT,3175,ONECUT1,,NM_004498,,,,,,,,,,,,,"[[[0.388, 0.234, 0.220, 0.158], [0.522, 0.104, 0.224, 0.150], [0.649, 0.080, 0.130, 0.141], [0.754, 0.048, 0.013, 0.185], [0.934, 0.010, 0.046, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.370, 0.010, 0.610, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.888, 0.015, 0.024, 0.073], [0.400, 0.252, 0.070, 0.278], [0.189, 0.258, 0.121, 0.432]]]",ONECUT1
UP00211|Pou3f3,0.8983600074423912,,UniPROBE,,9,,18585359,Homeodomain Family,,"POU domain, class 3, transcription factor 3",Mus Musculus,,18993,Pou3f3,Brn-1 Brn1 Otf8 Skin1,NM_008900,299.0,,,,,,,,,,,,"[[[0.402, 0.183, 0.130, 0.285], [0.637, 0.097, 0.089, 0.177], [0.307, 0.160, 0.305, 0.228], [0.342, 0.103, 0.265, 0.290], [0.092, 0.101, 0.034, 0.773], [0.799, 0.079, 0.027, 0.095], [0.010, 0.053, 0.010, 0.927], [0.017, 0.010, 0.948, 0.025], [0.087, 0.893, 0.010, 0.010], [0.969, 0.010, 0.011, 0.010], [0.031, 0.010, 0.011, 0.948], [0.894, 0.010, 0.013, 0.083], [0.666, 0.064, 0.010, 0.260], [0.170, 0.095, 0.231, 0.504], [0.343, 0.133, 0.270, 0.254], [0.371, 0.117, 0.242, 0.270], [0.598, 0.066, 0.098, 0.238]]]",Pou3f3
UP00189|HOXA5,0.9072735110827699,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox A5,Homo Sapiens,,3202,HOXA5,HOX1 HOX1.3 HOX1C MGC9376,NM_019102,148.0,,,,,,,,,,,,"[[[0.660, 0.116, 0.153, 0.071], [0.326, 0.393, 0.147, 0.134], [0.211, 0.105, 0.532, 0.152], [0.081, 0.194, 0.447, 0.278], [0.010, 0.088, 0.010, 0.892], [0.892, 0.088, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.088, 0.892], [0.892, 0.010, 0.088, 0.010], [0.207, 0.314, 0.410, 0.069], [0.152, 0.532, 0.105, 0.211], [0.293, 0.205, 0.065, 0.437], [0.266, 0.410, 0.097, 0.227], [0.520, 0.069, 0.193, 0.218], [0.267, 0.138, 0.363, 0.232]]]",HOXA5
MS00551|MEOX1,0.9086392334428213,,SELEX,,9,,23332764,Homeodomain Family,,mesenchyme homeobox 1,Homo Sapiens,293T,4222,MEOX1,,NM_001040002|NM_004527|NM_013999,,,,,,,,,,,,,"[[[0.302, 0.235, 0.328, 0.135], [0.046, 0.502, 0.417, 0.035], [0.018, 0.115, 0.015, 0.852], [0.743, 0.210, 0.037, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.068, 0.092, 0.830], [0.879, 0.010, 0.101, 0.010], [0.318, 0.304, 0.150, 0.228], [0.191, 0.435, 0.205, 0.169]]]",MEOX1
MS00581|Nkx6-1,0.9093618119661686,,SELEX,,9,,23332764,Homeodomain Family,,NK6 homeobox 1,Mus Musculus,293FT,18096,Nkx6-1,,NM_144955,,,,,,,,,,,,,"[[[0.210, 0.294, 0.305, 0.191], [0.018, 0.355, 0.041, 0.586], [0.556, 0.342, 0.039, 0.063], [0.890, 0.090, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.179, 0.035, 0.776], [0.840, 0.076, 0.074, 0.010], [0.504, 0.180, 0.091, 0.225]]]",Nkx6-1
UP00129|Pou3f1,0.9132542474079002,,UniPROBE,,9,,18585359,Homeodomain Family,,"POU domain, class 3, transcription factor 1",Mus Musculus,,18991,Pou3f1,Oct-6 Oct6 Otf6 Scip Test1 Tst-1 Tst1,NM_011141,86.0,,,,,,,,,,,,"[[[0.384, 0.129, 0.293, 0.194], [0.348, 0.257, 0.249, 0.146], [0.202, 0.273, 0.214, 0.311], [0.097, 0.048, 0.171, 0.684], [0.818, 0.127, 0.019, 0.036], [0.908, 0.034, 0.023, 0.035], [0.050, 0.010, 0.010, 0.930], [0.031, 0.010, 0.016, 0.943], [0.943, 0.016, 0.010, 0.031], [0.933, 0.010, 0.010, 0.047], [0.035, 0.023, 0.034, 0.908], [0.036, 0.019, 0.127, 0.818], [0.809, 0.107, 0.010, 0.074], [0.658, 0.104, 0.161, 0.077], [0.120, 0.198, 0.335, 0.347], [0.203, 0.115, 0.145, 0.537], [0.269, 0.275, 0.222, 0.234]]]",Pou3f1
UP00121|Hoxd10,0.9153171654847417,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox D10,Mus Musculus,,15430,Hoxd10,AI385591 AI874987 Hox-4.5 Hox-5.3,NM_013554,9.0,,,,,,,,,,,,"[[[0.405, 0.293, 0.221, 0.081], [0.398, 0.099, 0.334, 0.169], [0.050, 0.190, 0.337, 0.423], [0.244, 0.226, 0.324, 0.206], [0.031, 0.550, 0.010, 0.409], [0.714, 0.228, 0.021, 0.037], [0.834, 0.011, 0.022, 0.133], [0.010, 0.026, 0.010, 0.954], [0.812, 0.010, 0.010, 0.168], [0.952, 0.010, 0.010, 0.028], [0.925, 0.010, 0.010, 0.055], [0.851, 0.058, 0.065, 0.026], [0.193, 0.243, 0.050, 0.514], [0.267, 0.081, 0.240, 0.412], [0.336, 0.125, 0.188, 0.351], [0.407, 0.121, 0.187, 0.285], [0.281, 0.242, 0.160, 0.317]]]",Hoxd10
M01399|Hlx,0.9168913920618864,,Transfac,,4,,18585359,Homeodomain Family,,H2.0-like homeobox,Mus Musculus,,15284,Hlx,Hlx1,NM_008250,86.0,,,,,,,,,,,,"[[[0.180, 0.490, 0.160, 0.170], [0.270, 0.440, 0.130, 0.160], [0.450, 0.220, 0.160, 0.170], [0.070, 0.130, 0.050, 0.750], [0.760, 0.080, 0.050, 0.110], [0.717, 0.010, 0.071, 0.202], [0.040, 0.060, 0.020, 0.880], [0.160, 0.120, 0.030, 0.690], [0.630, 0.030, 0.250, 0.090], [0.880, 0.020, 0.060, 0.040], [0.202, 0.071, 0.010, 0.717], [0.110, 0.050, 0.080, 0.760], [0.750, 0.050, 0.130, 0.070], [0.160, 0.410, 0.150, 0.280], [0.420, 0.270, 0.090, 0.220]]]",Hlx
MS00424|CART1,0.9219971239155189,,SELEX,,9,,23332764,Homeodomain Family,,,Homo Sapiens,293FT,,CART1,,,,,,,,,,,,,,,"[[[0.253, 0.256, 0.209, 0.282], [0.184, 0.090, 0.040, 0.686], [0.731, 0.036, 0.116, 0.117], [0.956, 0.015, 0.019, 0.010], [0.100, 0.260, 0.073, 0.567], [0.069, 0.344, 0.172, 0.415], [0.081, 0.334, 0.059, 0.526], [0.753, 0.056, 0.142, 0.049], [0.906, 0.032, 0.036, 0.026], [0.010, 0.011, 0.010, 0.969], [0.148, 0.069, 0.016, 0.767], [0.770, 0.021, 0.083, 0.126], [0.315, 0.215, 0.257, 0.213]]]",CART1
MS00443|EMX2,0.9256477684415907,,SELEX,,9,,23332764,Homeodomain Family,,empty spiracles homeobox 2,Homo Sapiens,239FT,2018,EMX2,,NM_001165924|NM_004098,,,,,,,,,,,,,"[[[0.281, 0.226, 0.344, 0.149], [0.153, 0.358, 0.284, 0.205], [0.022, 0.204, 0.010, 0.764], [0.845, 0.112, 0.015, 0.028], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.097, 0.883], [0.970, 0.010, 0.010, 0.010], [0.245, 0.191, 0.475, 0.089], [0.160, 0.350, 0.274, 0.216]]]",EMX2
MS00593|PHOX2B,0.9277320847543363,,SELEX,,9,,23332764,Homeodomain Family,,paired-like homeobox 2b,Homo Sapiens,FT293,8929,PHOX2B,,NM_003924,,,,,,,,,,,,,"[[[0.123, 0.058, 0.021, 0.798], [0.851, 0.010, 0.097, 0.042], [0.970, 0.010, 0.010, 0.010], [0.051, 0.262, 0.026, 0.661], [0.032, 0.369, 0.181, 0.418], [0.109, 0.363, 0.075, 0.453], [0.796, 0.038, 0.145, 0.021], [0.964, 0.010, 0.016, 0.010], [0.010, 0.010, 0.010, 0.970], [0.058, 0.043, 0.010, 0.889], [0.844, 0.010, 0.040, 0.106]]]",PHOX2B
MS00440|Dlx2,0.9295812445432137,,SELEX,,9,,23332764,Homeodomain Family,,distal-less homeobox 2,Mus Musculus,293FT,13392,Dlx2,,NM_010054,,,,,,,,,,,,,"[[[0.231, 0.259, 0.345, 0.165], [0.038, 0.513, 0.010, 0.439], [0.890, 0.044, 0.032, 0.034], [0.957, 0.020, 0.010, 0.013], [0.010, 0.010, 0.010, 0.970], [0.017, 0.026, 0.038, 0.919], [0.940, 0.010, 0.010, 0.040], [0.270, 0.238, 0.223, 0.269]]]",Dlx2
